First;Last;Nickname;Ht.;Wt.;Reach;Stance;W;L;D;Foot;Inches;Height_cm;Weight.Lbs;Weight.Kg
Yuya;Shirai;;"5' 8""";168 lbs.;--;Orthodox;26;14;2;5.0;8.0;172.72;168.0;76.203456
Wes;Shivers;;"6' 8""";--;--;;7;1;0;6.0;8.0;203.2;;
Alexander;Shlemenko;Storm;"5' 11""";185 lbs.;--;;56;9;0;5.0;11.0;180.34;185.0;83.91452
Josh;Shockley;;"6' 1""";155 lbs.;--;Orthodox;11;4;0;6.0;1.0;185.42000000000002;155.0;70.30676
Josh;Shockman;The War Hammer;"6' 4""";235 lbs.;--;Southpaw;6;3;0;6.0;4.0;193.04;235.0;106.59412
Akira;Shoji;;"5' 8""";195 lbs.;--;Orthodox;14;17;5;5.0;8.0;172.72;195.0;88.45044
Liudvik;Sholinian;Palmeyros;"5' 10""";135 lbs.;"71.0""";Orthodox;9;4;1;5.0;10.0;177.8;135.0;61.23492
Jack;Shore;Tank;"5' 8""";145 lbs.;"71.0""";Orthodox;17;3;0;5.0;8.0;172.72;145.0;65.77083999999999
Landon;Showalter;The Show;"6' 0""";185 lbs.;--;;11;19;1;6.0;0.0;182.88;185.0;83.91452
Ivan;Shtyrkov;Ural Hulk;"6' 0""";205 lbs.;"74.0""";Orthodox;15;0;1;6.0;0.0;182.88;205.0;92.98636
Brandon;Shuey;Big Dawg;"5' 7""";155 lbs.;--;Orthodox;7;6;0;5.0;7.0;170.18;155.0;70.30676
Ronal;Siahaan;Naga Sakti;"5' 7""";125 lbs.;"71.0""";Southpaw;7;1;0;5.0;7.0;170.18;125.0;56.699
Sam;Sicilia;;"5' 8""";145 lbs.;"67.0""";Orthodox;15;8;0;5.0;8.0;172.72;145.0;65.77083999999999
Kiril;Sidelnikov;;"5' 11""";230 lbs.;--;;11;4;0;5.0;11.0;180.34;230.0;104.32616
Serhiy;Sidey;;"5' 11""";135 lbs.;"72.0""";Switch;12;2;0;5.0;11.0;180.34;135.0;61.23492
Steven;Siler;Super;"5' 11""";145 lbs.;"70.0""";Orthodox;29;16;0;5.0;11.0;180.34;145.0;65.77083999999999
Siala;Siliga;Mighty Mo;"6' 1""";290 lbs.;--;Orthodox;12;5;0;6.0;1.0;185.42000000000002;290.0;131.54167999999999
Xavier;Siller;Young Guns;"5' 5""";125 lbs.;--;;5;5;0;5.0;5.0;165.1;125.0;56.699
Assuerio;Silva;;"5' 10""";241 lbs.;--;Orthodox;16;8;0;5.0;10.0;177.8;241.0;109.31567199999999
Anderson;Silva;The Spider;"6' 2""";185 lbs.;"77.0""";Southpaw;34;11;0;6.0;2.0;187.96;185.0;83.91452
Wanderlei;Silva;The Axe Murderer;"5' 11""";205 lbs.;"74.0""";Orthodox;35;13;1;5.0;11.0;180.34;205.0;92.98636
Thiago;Silva;;"6' 2""";205 lbs.;"74.0""";Orthodox;19;6;0;6.0;2.0;187.96;205.0;92.98636
Paulo Cesar;Silva;Giant;"7' 5""";385 lbs.;--;Orthodox;2;6;0;7.0;5.0;226.06;385.0;174.63291999999998
Jean;Silva;White Bear;"5' 6""";160 lbs.;--;Orthodox;19;12;3;5.0;6.0;167.64000000000001;160.0;72.57472
Edson;Silva;Paredao;--;205 lbs.;--;Orthodox;14;12;0;;;;205.0;92.98636
Sidney;Silva;;"6' 3""";170 lbs.;--;Southpaw;8;4;0;6.0;3.0;190.5;170.0;77.11064
Jay;Silva;;"6' 2""";185 lbs.;--;Southpaw;10;11;1;6.0;2.0;187.96;185.0;83.91452
Antonio;Silva;Bigfoot;"6' 4""";264 lbs.;"82.0""";Orthodox;19;12;1;6.0;4.0;193.04;264.0;119.748288
Fabio;Silva;;"5' 11""";205 lbs.;--;Orthodox;1;8;0;5.0;11.0;180.34;205.0;92.98636
Erick;Silva;;"6' 0""";170 lbs.;"74.0""";Orthodox;19;9;0;6.0;0.0;182.88;170.0;77.11064
Leandro;Silva;Buscape;"5' 9""";155 lbs.;"72.0""";Orthodox;20;6;1;5.0;9.0;175.26;155.0;70.30676
Claudio;Silva;Hannibal;"5' 11""";170 lbs.;"71.0""";Southpaw;14;4;0;5.0;11.0;180.34;170.0;77.11064
Wagner;Silva;Wagnao;"6' 0""";170 lbs.;--;Orthodox;6;3;0;6.0;0.0;182.88;170.0;77.11064
Rafael;Silva;Morcego;"5' 7""";135 lbs.;--;;28;6;0;5.0;7.0;170.18;135.0;61.23492
Joaquim;Silva;Netto BJJ;"5' 8""";155 lbs.;"69.0""";Southpaw;14;6;0;5.0;8.0;172.72;155.0;70.30676
Felipe;Silva;;"6' 0""";155 lbs.;"77.0""";Orthodox;8;2;0;6.0;0.0;182.88;155.0;70.30676
Dayana;Silva;;"5' 7""";135 lbs.;--;Orthodox;7;4;0;5.0;7.0;170.18;135.0;61.23492
Bruno;Silva;Bulldog;"5' 4""";125 lbs.;"65.0""";Orthodox;15;7;2;5.0;4.0;162.56;125.0;56.699
Bruno;Silva;Blindado;"6' 0""";185 lbs.;"74.0""";Orthodox;23;13;0;6.0;0.0;182.88;185.0;83.91452
Gabriel;Silva;;"5' 6""";135 lbs.;"71.0""";Orthodox;8;2;0;5.0;6.0;167.64000000000001;135.0;61.23492
Jacob;Silva;Lil Animal;"5' 5""";125 lbs.;"67.0""";Orthodox;6;4;0;5.0;5.0;165.1;125.0;56.699
Natalia;Silva;;"5' 4""";125 lbs.;"65.0""";Southpaw;20;5;1;5.0;4.0;162.56;125.0;56.699
Jansey;Silva;Jones;"6' 2""";185 lbs.;"67.0""";Orthodox;7;2;0;6.0;2.0;187.96;185.0;83.91452
Maria;Silva;Viuva Negra;"5' 3""";115 lbs.;"64.0""";Orthodox;8;1;0;5.0;3.0;160.02;115.0;52.16308
Karine;Silva;Killer;"5' 5""";125 lbs.;"67.0""";Orthodox;19;6;0;5.0;5.0;165.1;125.0;56.699
Erik;Silva;The King;"5' 9""";145 lbs.;"71.0""";Orthodox;9;3;0;5.0;9.0;175.26;145.0;65.77083999999999
Janaina;Silva;Jana-Iron-Hand;"5' 1""";115 lbs.;"60.0""";Orthodox;5;1;0;5.0;1.0;154.94;115.0;52.16308
Jhonata;Silva;;"5' 5""";125 lbs.;"66.0""";Orthodox;8;2;0;5.0;5.0;165.1;125.0;56.699
Jean;Silva;Lord;"5' 7""";145 lbs.;"69.0""";Orthodox;17;3;0;5.0;7.0;170.18;145.0;65.77083999999999
