First;Last;Nickname;Ht.;Wt.;Reach;Stance;W;L;D;Foot;Inches;Height_cm;Weight.Lbs;Weight.Kg
Felicia;Spencer;FeeNom;"5' 6""";145 lbs.;"68.0""";Orthodox;9;3;0;5.0;6.0;167.64000000000001;145.0;65.77083999999999
Sam;Spengler;The Ram;"5' 11""";185 lbs.;--;Orthodox;9;5;0;5.0;11.0;180.34;185.0;83.91452
Nick;Sperling;;--;135 lbs.;--;;3;4;0;;;;135.0;61.23492
Mario;Sperry;Zen Machine;"6' 2""";205 lbs.;--;Orthodox;13;4;0;6.0;2.0;187.96;205.0;92.98636
Eric;Spicely;Zebrinha;"6' 1""";185 lbs.;"73.0""";Orthodox;12;6;0;6.0;1.0;185.42000000000002;185.0;83.91452
Waachiim;Spiritwolf;Native Warrior;"5' 8""";170 lbs.;--;;12;13;1;5.0;8.0;172.72;170.0;77.11064
Daniel;Spitz;;"6' 7""";245 lbs.;"82.0""";Orthodox;6;3;0;6.0;7.0;200.66;245.0;111.13004
Serghei;Spivac;Polar Bear;"6' 3""";260 lbs.;"78.0""";Orthodox;17;6;0;6.0;3.0;190.5;260.0;117.93392
Daniel;Spohn;Dragon;"6' 4""";205 lbs.;"79.0""";Southpaw;15;6;0;6.0;4.0;193.04;205.0;92.98636
Pete;Spratt;The Secret Weapon;"5' 9""";170 lbs.;--;Orthodox;25;23;0;5.0;9.0;175.26;170.0;77.11064
Austin;Springer;;"5' 8""";145 lbs.;"71.0""";Orthodox;12;4;0;5.0;8.0;172.72;145.0;65.77083999999999
